state,state_code,racetype,election_year,incumbent,incumbent_party,incumbent_retiring,hete_democrat,hete_republican,democrat_1,democrat_1_probability,democrat_2,democrat_2_probability,democrat_3,democrat_3_probability,democrat_4,democrat_4_probability,democrat_5,democrat_5_probability,democrat_6,democrat_6_probability,republican_1,republican_1_probability,republican_2,republican_2_probability,republican_3,republican_3_probability,republican_4,republican_4_probability,republican_5,republican_5_probability,republican_6,republican_6_probability,independent_1,independent_2,independent_3,independent_4
West Virginia,WV,senate_2,2026,Republican Shelley Moore Capito,R,,A Democratic Candidate,Republican Shelley Moore Capito,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Shelley Moore Capito,0.9,,,,,,,,,,,,
Wyoming,WY,senate_2,2026,Republican Cynthia Lummis,R,,A Democratic Candidate,Republican Cynthia Lummis,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Cynthia Lummis,0.9,,,,,,,,,,,,
Alabama,AL,governor,2026,Republican Kay Ivey,R,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Alaska,AK,governor,2026,Republican Mike Dunleavy,R,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Arizona,AZ,governor,2026,Democrat Katie Hobbs,D,,Democrat Katie Hobbs,A Republican Candidate,A Democratic Candidate,0.1,Democrat Katie Hobbs,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Arkansas,AR,governor,2026,Republican Sarah Huckabee Sanders,R,,A Democratic Candidate,Republican Sarah Huckabee Sanders,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Sarah Huckabee Sanders,0.9,,,,,,,,,,,,
California,CA,governor,2026,Democrat Gavin Newsom,D,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Colorado,CO,governor,2026,Democrat Jared Polis,D,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Connecticut,CT,governor,2026,Democrat Ned Lamont,D,,Democrat Ned Lamont,A Republican Candidate,A Democratic Candidate,0.1,Democrat Ned Lamont,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Delaware,DE,governor,2024,Democrat John Carney,D,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Florida,FL,governor,2026,Republican Ron DeSantis,R,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Georgia,GA,governor,2026,Republican Brian Kemp,R,1,A Democratic Candidate,A Republican Candidate,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
